Full spectra mixtures PL + INH
wavelength	1	2	3	4	5	6	7	8	9	10
236,00	1,305	1,362	1,439	1,526	1,613	1,690	1,775	1,852	1,930	1,982
236,50	1,309	1,362	1,436	1,520	1,603	1,678	1,761	1,835	1,912	1,963
237,00	1,311	1,361	1,432	1,513	1,593	1,665	1,744	1,816	1,891	1,941
237,50	1,311	1,359	1,427	1,506	1,582	1,652	1,729	1,800	1,872	1,923
238,00	1,311	1,357	1,422	1,497	1,571	1,638	1,714	1,780	1,852	1,900
238,50	1,310	1,354	1,416	1,488	1,561	1,625	1,698	1,762	1,833	1,880
239,00	1,308	1,350	1,409	1,480	1,549	1,610	1,682	1,745	1,813	1,860
239,50	1,305	1,345	1,401	1,470	1,537	1,597	1,666	1,727	1,795	1,841
240,00	1,301	1,339	1,394	1,460	1,525	1,584	1,651	1,711	1,777	1,822
240,50	1,296	1,332	1,385	1,449	1,512	1,569	1,635	1,694	1,758	1,803
241,00	1,290	1,324	1,376	1,438	1,500	1,555	1,620	1,678	1,742	1,785
241,50	1,283	1,316	1,366	1,427	1,487	1,541	1,605	1,661	1,725	1,768
242,00	1,274	1,307	1,355	1,415	1,475	1,527	1,590	1,645	1,706	1,750
242,50	1,264	1,296	1,344	1,402	1,461	1,513	1,574	1,628	1,690	1,732
243,00	1,254	1,285	1,332	1,389	1,448	1,499	1,559	1,613	1,674	1,716
243,50	1,242	1,272	1,319	1,376	1,433	1,484	1,544	1,597	1,657	1,700
244,00	1,229	1,260	1,305	1,362	1,419	1,470	1,529	1,582	1,642	1,684
244,50	1,214	1,245	1,291	1,347	1,404	1,454	1,514	1,566	1,626	1,667
245,00	1,199	1,229	1,276	1,332	1,389	1,439	1,498	1,551	1,609	1,652
245,50	1,182	1,213	1,259	1,315	1,373	1,423	1,482	1,535	1,593	1,636
246,00	1,164	1,196	1,242	1,299	1,357	1,408	1,467	1,519	1,578	1,621
246,50	1,144	1,177	1,224	1,282	1,340	1,391	1,450	1,503	1,563	1,605
247,00	1,124	1,157	1,206	1,264	1,322	1,374	1,434	1,487	1,547	1,590
247,50	1,101	1,135	1,185	1,244	1,303	1,356	1,417	1,471	1,530	1,574
248,00	1,077	1,112	1,163	1,223	1,284	1,338	1,400	1,453	1,514	1,559
248,50	1,050	1,087	1,140	1,201	1,263	1,317	1,380	1,436	1,497	1,542
249,00	1,024	1,062	1,116	1,179	1,242	1,298	1,362	1,418	1,480	1,526
249,50	0,995	1,035	1,090	1,155	1,220	1,277	1,342	1,400	1,463	1,509
250,00	0,966	1,008	1,065	1,131	1,198	1,256	1,323	1,382	1,446	1,494
250,50	0,934	0,978	1,037	1,106	1,173	1,234	1,302	1,363	1,427	1,476
251,00	0,904	0,949	1,011	1,081	1,151	1,213	1,283	1,345	1,411	1,460
251,50	0,872	0,920	0,983	1,055	1,128	1,191	1,263	1,326	1,393	1,444
252,00	0,839	0,889	0,954	1,029	1,103	1,168	1,242	1,307	1,375	1,427
252,50	0,806	0,858	0,926	1,002	1,079	1,146	1,221	1,288	1,356	1,409
253,00	0,771	0,825	0,895	0,974	1,052	1,121	1,198	1,267	1,337	1,391
253,50	0,738	0,795	0,867	0,948	1,028	1,099	1,177	1,247	1,319	1,374
254,00	0,706	0,764	0,838	0,922	1,004	1,076	1,156	1,228	1,301	1,356
254,50	0,672	0,733	0,810	0,895	0,979	1,052	1,135	1,208	1,282	1,339
255,00	0,642	0,705	0,784	0,870	0,956	1,031	1,114	1,189	1,264	1,322
255,50	0,612	0,676	0,757	0,845	0,932	1,008	1,093	1,170	1,245	1,305
256,00	0,582	0,649	0,730	0,820	0,909	0,987	1,073	1,151	1,227	1,287
256,50	0,556	0,624	0,707	0,797	0,887	0,966	1,054	1,133	1,210	1,272
257,00	0,532	0,600	0,684	0,776	0,867	0,947	1,036	1,116	1,193	1,256
257,50	0,507	0,576	0,661	0,754	0,846	0,927	1,017	1,097	1,176	1,239
258,00	0,483	0,553	0,639	0,733	0,826	0,908	0,998	1,080	1,160	1,223
258,50	0,462	0,532	0,619	0,713	0,807	0,889	0,980	1,063	1,143	1,208
259,00	0,443	0,514	0,602	0,697	0,791	0,874	0,965	1,048	1,130	1,195
259,50	0,426	0,497	0,585	0,680	0,775	0,858	0,950	1,034	1,115	1,181
260,00	0,410	0,481	0,569	0,665	0,759	0,843	0,935	1,019	1,101	1,168
260,50	0,394	0,466	0,555	0,650	0,744	0,828	0,921	1,005	1,087	1,154
261,00	0,381	0,452	0,541	0,636	0,731	0,814	0,907	0,992	1,074	1,142
261,50	0,368	0,440	0,528	0,623	0,718	0,802	0,894	0,979	1,062	1,129
262,00	0,357	0,429	0,517	0,612	0,706	0,790	0,882	0,967	1,050	1,118
262,50	0,349	0,420	0,508	0,602	0,696	0,780	0,872	0,957	1,039	1,107
263,00	0,341	0,411	0,499	0,594	0,687	0,770	0,862	0,947	1,030	1,098
263,50	0,333	0,403	0,491	0,585	0,678	0,761	0,852	0,937	1,020	1,089
264,00	0,326	0,396	0,483	0,577	0,670	0,752	0,843	0,928	1,011	1,080
264,50	0,321	0,390	0,477	0,570	0,663	0,745	0,835	0,920	1,003	1,072
265,00	0,316	0,385	0,471	0,564	0,656	0,738	0,828	0,912	0,995	1,065
265,50	0,312	0,380	0,466	0,558	0,650	0,731	0,821	0,905	0,989	1,058
266,00	0,309	0,377	0,462	0,554	0,645	0,726	0,815	0,899	0,983	1,052
266,50	0,306	0,374	0,459	0,550	0,641	0,721	0,810	0,894	0,977	1,047
267,00	0,304	0,371	0,456	0,546	0,637	0,717	0,806	0,889	0,973	1,042
267,50	0,303	0,369	0,454	0,544	0,634	0,714	0,802	0,885	0,969	1,039
268,00	0,302	0,368	0,452	0,542	0,631	0,711	0,799	0,882	0,966	1,036
268,50	0,301	0,367	0,451	0,540	0,629	0,709	0,797	0,880	0,963	1,033
269,00	0,301	0,367	0,450	0,539	0,628	0,708	0,795	0,878	0,961	1,031
269,50	0,302	0,367	0,450	0,539	0,627	0,707	0,795	0,877	0,960	1,030
270,00	0,303	0,368	0,451	0,539	0,627	0,707	0,794	0,876	0,959	1,030
270,50	0,304	0,369	0,452	0,540	0,628	0,707	0,794	0,876	0,959	1,030
271,00	0,306	0,371	0,454	0,541	0,629	0,708	0,795	0,877	0,961	1,031
271,50	0,308	0,373	0,456	0,543	0,631	0,710	0,797	0,879	0,962	1,033
272,00	0,311	0,376	0,458	0,546	0,633	0,712	0,799	0,881	0,965	1,035
272,50	0,314	0,379	0,461	0,548	0,636	0,715	0,802	0,883	0,967	1,038
273,00	0,317	0,382	0,464	0,552	0,639	0,718	0,805	0,886	0,970	1,041
273,50	0,321	0,386	0,468	0,555	0,642	0,722	0,808	0,890	0,974	1,044
274,00	0,325	0,390	0,472	0,559	0,646	0,726	0,812	0,894	0,977	1,048
274,50	0,330	0,395	0,477	0,564	0,651	0,730	0,817	0,898	0,981	1,052
275,00	0,335	0,400	0,482	0,569	0,656	0,735	0,821	0,902	0,986	1,056
275,50	0,341	0,406	0,487	0,574	0,660	0,740	0,826	0,906	0,990	1,060
276,00	0,346	0,411	0,493	0,579	0,665	0,745	0,830	0,911	0,994	1,064
276,50	0,352	0,417	0,499	0,585	0,670	0,750	0,835	0,915	0,998	1,068
277,00	0,359	0,424	0,505	0,590	0,676	0,755	0,840	0,920	1,003	1,072
277,50	0,366	0,431	0,511	0,597	0,682	0,760	0,845	0,924	1,007	1,076
278,00	0,374	0,438	0,518	0,603	0,687	0,766	0,850	0,929	1,011	1,080
278,50	0,381	0,445	0,525	0,609	0,693	0,771	0,855	0,933	1,015	1,084
279,00	0,390	0,453	0,532	0,616	0,699	0,777	0,860	0,938	1,020	1,089
279,50	0,398	0,462	0,540	0,623	0,706	0,783	0,866	0,944	1,025	1,094
280,00	0,408	0,471	0,548	0,631	0,713	0,790	0,872	0,949	1,031	1,098
280,50	0,418	0,480	0,557	0,639	0,720	0,797	0,879	0,955	1,036	1,103
281,00	0,429	0,490	0,567	0,648	0,728	0,805	0,886	0,962	1,042	1,110
281,50	0,440	0,501	0,577	0,657	0,737	0,814	0,894	0,969	1,049	1,116
282,00	0,451	0,512	0,587	0,667	0,746	0,822	0,901	0,976	1,055	1,122
282,50	0,463	0,523	0,597	0,676	0,755	0,830	0,909	0,983	1,062	1,128
283,00	0,474	0,534	0,607	0,686	0,764	0,838	0,916	0,990	1,068	1,134
283,50	0,487	0,546	0,619	0,696	0,774	0,848	0,925	0,998	1,076	1,141
284,00	0,500	0,559	0,631	0,708	0,784	0,857	0,933	1,006	1,083	1,148
284,50	0,515	0,572	0,643	0,719	0,794	0,867	0,942	1,014	1,090	1,155
285,00	0,529	0,585	0,655	0,730	0,804	0,876	0,951	1,022	1,098	1,161
285,50	0,542	0,598	0,667	0,741	0,814	0,885	0,959	1,029	1,105	1,168
286,00	0,557	0,611	0,679	0,752	0,825	0,895	0,968	1,037	1,112	1,175
286,50	0,571	0,624	0,691	0,763	0,835	0,904	0,976	1,044	1,118	1,180
287,00	0,585	0,638	0,703	0,774	0,844	0,912	0,984	1,051	1,124	1,187
287,50	0,600	0,651	0,716	0,785	0,854	0,922	0,992	1,059	1,131	1,193
288,00	0,616	0,666	0,729	0,797	0,865	0,932	1,001	1,067	1,138	1,199
288,50	0,631	0,680	0,742	0,809	0,875	0,941	1,009	1,074	1,145	1,205
289,00	0,646	0,694	0,754	0,820	0,885	0,950	1,017	1,081	1,151	1,211
289,50	0,661	0,708	0,767	0,832	0,896	0,960	1,026	1,089	1,158	1,218
290,00	0,676	0,722	0,780	0,843	0,907	0,970	1,035	1,097	1,166	1,225
290,50	0,690	0,735	0,793	0,855	0,918	0,980	1,044	1,105	1,173	1,232
291,00	0,706	0,750	0,806	0,868	0,929	0,990	1,053	1,114	1,182	1,240
291,50	0,720	0,763	0,819	0,880	0,940	1,001	1,062	1,123	1,190	1,248
292,00	0,734	0,776	0,831	0,891	0,951	1,010	1,072	1,132	1,199	1,256
292,50	0,748	0,790	0,845	0,903	0,963	1,022	1,082	1,142	1,208	1,266
293,00	0,762	0,803	0,857	0,915	0,974	1,032	1,092	1,151	1,218	1,275
293,50	0,775	0,817	0,870	0,927	0,985	1,043	1,103	1,162	1,228	1,284
294,00	0,789	0,830	0,882	0,939	0,997	1,054	1,114	1,173	1,238	1,295
294,50	0,801	0,841	0,893	0,949	1,008	1,064	1,124	1,182	1,247	1,303
295,00	0,813	0,853	0,905	0,962	1,019	1,076	1,134	1,192	1,257	1,314
295,50	0,824	0,864	0,916	0,972	1,029	1,086	1,143	1,203	1,267	1,324
296,00	0,835	0,875	0,926	0,982	1,039	1,096	1,154	1,213	1,277	1,334
296,50	0,845	0,885	0,936	0,992	1,049	1,105	1,164	1,223	1,286	1,343
297,00	0,853	0,893	0,945	1,000	1,058	1,115	1,173	1,231	1,295	1,352
297,50	0,861	0,902	0,953	1,010	1,066	1,124	1,182	1,240	1,304	1,361
298,00	0,868	0,909	0,961	1,017	1,074	1,132	1,190	1,249	1,313	1,369
298,50	0,875	0,916	0,968	1,024	1,082	1,140	1,198	1,257	1,321	1,378
299,00	0,881	0,922	0,974	1,032	1,090	1,147	1,206	1,265	1,329	1,386
299,50	0,885	0,927	0,980	1,037	1,096	1,155	1,212	1,273	1,336	1,392
300,00	0,888	0,931	0,984	1,042	1,101	1,160	1,219	1,279	1,344	1,400
300,50	0,891	0,934	0,988	1,047	1,107	1,166	1,225	1,286	1,350	1,408
301,00	0,892	0,936	0,991	1,050	1,111	1,171	1,230	1,292	1,355	1,413
301,50	0,892	0,937	0,993	1,053	1,114	1,175	1,235	1,297	1,361	1,419
302,00	0,891	0,937	0,994	1,055	1,116	1,179	1,239	1,301	1,366	1,424
302,50	0,889	0,936	0,994	1,056	1,118	1,181	1,242	1,306	1,371	1,428
303,00	0,885	0,934	0,993	1,055	1,119	1,183	1,245	1,308	1,374	1,432
303,50	0,881	0,931	0,990	1,054	1,119	1,184	1,246	1,311	1,377	1,437
304,00	0,874	0,926	0,987	1,052	1,118	1,184	1,248	1,314	1,380	1,439
304,50	0,867	0,920	0,983	1,049	1,116	1,183	1,248	1,314	1,383	1,442
305,00	0,859	0,913	0,977	1,045	1,113	1,183	1,247	1,316	1,383	1,442
305,50	0,849	0,905	0,970	1,040	1,109	1,180	1,248	1,317	1,384	1,444
306,00	0,838	0,896	0,963	1,034	1,106	1,178	1,245	1,316	1,384	1,445
306,50	0,826	0,885	0,954	1,027	1,100	1,174	1,243	1,315	1,384	1,445
307,00	0,812	0,874	0,945	1,019	1,093	1,170	1,240	1,313	1,383	1,443
307,50	0,798	0,862	0,935	1,010	1,087	1,164	1,237	1,310	1,381	1,443
308,00	0,782	0,848	0,923	1,001	1,079	1,158	1,231	1,307	1,378	1,442
308,50	0,765	0,832	0,910	0,990	1,070	1,150	1,226	1,303	1,375	1,440
309,00	0,746	0,816	0,896	0,978	1,060	1,143	1,219	1,298	1,371	1,435
309,50	0,727	0,799	0,881	0,965	1,050	1,134	1,212	1,293	1,367	1,431
310,00	0,708	0,782	0,866	0,953	1,039	1,125	1,205	1,286	1,362	1,427
310,50	0,687	0,764	0,851	0,940	1,027	1,115	1,198	1,280	1,358	1,422
311,00	0,666	0,745	0,834	0,925	1,015	1,104	1,189	1,274	1,352	1,418
311,50	0,644	0,725	0,817	0,910	1,002	1,094	1,180	1,267	1,346	1,412
312,00	0,621	0,705	0,799	0,895	0,988	1,083	1,171	1,259	1,339	1,405
312,50	0,599	0,685	0,781	0,879	0,975	1,072	1,163	1,251	1,331	1,400
313,00	0,577	0,666	0,764	0,864	0,962	1,060	1,153	1,243	1,324	1,394
313,50	0,556	0,646	0,746	0,849	0,949	1,049	1,142	1,236	1,317	1,388
314,00	0,533	0,626	0,728	0,833	0,934	1,036	1,132	1,225	1,309	1,379
314,50	0,510	0,605	0,710	0,816	0,920	1,024	1,121	1,216	1,299	1,372
315,00	0,486	0,584	0,691	0,800	0,905	1,010	1,110	1,206	1,291	1,362
315,50	0,464	0,564	0,673	0,784	0,891	0,998	1,099	1,197	1,283	1,354
316,00	0,444	0,546	0,657	0,770	0,878	0,986	1,089	1,188	1,275	1,347
316,50	0,424	0,527	0,640	0,755	0,865	0,974	1,079	1,179	1,267	1,339
317,00	0,404	0,509	0,624	0,740	0,852	0,963	1,068	1,169	1,257	1,330
317,50	0,384	0,492	0,608	0,725	0,838	0,950	1,057	1,160	1,247	1,322
318,00	0,366	0,474	0,592	0,710	0,825	0,938	1,047	1,149	1,239	1,313
318,50	0,348	0,458	0,577	0,697	0,812	0,926	1,036	1,140	1,229	1,303
319,00	0,330	0,442	0,562	0,683	0,800	0,915	1,025	1,130	1,219	1,294
319,50	0,315	0,428	0,549	0,672	0,789	0,905	1,016	1,121	1,211	1,286
320,00	0,301	0,414	0,537	0,660	0,778	0,895	1,007	1,113	1,202	1,276
320,50	0,287	0,402	0,525	0,649	0,768	0,885	0,998	1,104	1,194	1,268
321,00	0,274	0,390	0,513	0,638	0,758	0,875	0,989	1,095	1,186	1,259
321,50	0,262	0,378	0,503	0,628	0,748	0,866	0,980	1,087	1,176	1,250
322,00	0,251	0,367	0,492	0,618	0,739	0,857	0,972	1,078	1,167	1,241
322,50	0,241	0,358	0,483	0,610	0,730	0,849	0,964	1,071	1,160	1,233
323,00	0,232	0,349	0,475	0,602	0,723	0,842	0,957	1,063	1,152	1,226
323,50	0,223	0,341	0,467	0,594	0,715	0,834	0,949	1,054	1,144	1,217
324,00	0,215	0,334	0,459	0,587	0,707	0,827	0,941	1,047	1,136	1,208
324,50	0,208	0,327	0,453	0,580	0,700	0,819	0,934	1,040	1,129	1,202
325,00	0,202	0,321	0,447	0,574	0,694	0,813	0,928	1,033	1,121	1,194
325,50	0,197	0,315	0,441	0,568	0,688	0,807	0,921	1,025	1,115	1,186
326,00	0,192	0,310	0,436	0,563	0,682	0,801	0,915	1,019	1,108	1,178
326,50	0,188	0,306	0,432	0,558	0,677	0,796	0,910	1,013	1,101	1,172
327,00	0,184	0,303	0,428	0,554	0,673	0,791	0,904	1,007	1,095	1,165
327,50	0,181	0,299	0,424	0,550	0,668	0,786	0,899	1,001	1,089	1,157
328,00	0,178	0,296	0,420	0,546	0,664	0,781	0,894	0,995	1,082	1,151
328,50	0,176	0,293	0,417	0,542	0,660	0,776	0,889	0,989	1,076	1,144
329,00	0,174	0,291	0,414	0,539	0,656	0,773	0,884	0,984	1,070	1,138
329,50	0,172	0,289	0,412	0,537	0,653	0,769	0,880	0,979	1,064	1,131
330,00	0,171	0,287	0,410	0,534	0,649	0,765	0,876	0,975	1,059	1,126
330,50	0,170	0,286	0,408	0,532	0,647	0,762	0,872	0,970	1,054	1,120
331,00	0,169	0,284	0,406	0,529	0,644	0,758	0,868	0,965	1,048	1,114
331,50	0,168	0,283	0,404	0,527	0,641	0,756	0,865	0,961	1,044	1,108
332,00	0,168	0,282	0,403	0,525	0,639	0,753	0,861	0,957	1,038	1,104
332,50	0,168	0,282	0,402	0,524	0,637	0,750	0,858	0,953	1,035	1,098
333,00	0,168	0,281	0,401	0,522	0,635	0,748	0,855	0,949	1,031	1,094
333,50	0,168	0,281	0,400	0,522	0,634	0,746	0,853	0,946	1,027	1,090
334,00	0,168	0,281	0,400	0,521	0,633	0,744	0,851	0,944	1,024	1,087
334,50	0,169	0,282	0,400	0,520	0,632	0,743	0,849	0,941	1,021	1,084
335,00	0,170	0,282	0,400	0,519	0,631	0,742	0,848	0,939	1,018	1,080
335,50	0,170	0,282	0,400	0,519	0,630	0,741	0,847	0,937	1,016	1,077
336,00	0,171	0,283	0,400	0,519	0,630	0,740	0,846	0,935	1,014	1,075
336,50	0,172	0,284	0,401	0,519	0,630	0,740	0,845	0,934	1,013	1,073
337,00	0,173	0,285	0,402	0,520	0,630	0,740	0,845	0,933	1,012	1,072
337,50	0,174	0,286	0,403	0,521	0,631	0,741	0,844	0,933	1,011	1,071
338,00	0,175	0,287	0,404	0,522	0,632	0,741	0,845	0,933	1,011	1,070
338,50	0,177	0,289	0,405	0,523	0,633	0,742	0,846	0,933	1,011	1,070
339,00	0,179	0,290	0,407	0,525	0,635	0,744	0,848	0,934	1,012	1,070
339,50	0,180	0,292	0,409	0,527	0,636	0,745	0,850	0,935	1,013	1,072
340,00	0,182	0,294	0,411	0,528	0,638	0,747	0,851	0,938	1,015	1,073
340,50	0,184	0,296	0,413	0,530	0,641	0,749	0,853	0,939	1,019	1,076
341,00	0,186	0,298	0,415	0,533	0,644	0,753	0,856	0,941	1,019	1,077
341,50	0,188	0,301	0,419	0,535	0,646	0,756	0,859	0,945	1,022	1,080
342,00	0,190	0,303	0,421	0,539	0,650	0,759	0,863	0,949	1,026	1,084
342,50	0,192	0,306	0,424	0,542	0,654	0,762	0,867	0,953	1,030	1,086
343,00	0,195	0,309	0,427	0,545	0,657	0,767	0,871	0,957	1,033	1,091
343,50	0,197	0,312	0,430	0,549	0,661	0,772	0,875	0,961	1,038	1,096
344,00	0,200	0,314	0,434	0,553	0,665	0,777	0,880	0,966	1,043	1,101
344,50	0,202	0,318	0,437	0,557	0,671	0,781	0,885	0,972	1,048	1,107
345,00	0,204	0,321	0,441	0,561	0,675	0,786	0,890	0,977	1,055	1,111
345,50	0,207	0,324	0,445	0,566	0,680	0,792	0,896	0,984	1,061	1,118
346,00	0,210	0,328	0,449	0,571	0,686	0,798	0,903	0,990	1,066	1,127
346,50	0,213	0,331	0,454	0,576	0,691	0,804	0,909	0,996	1,074	1,132
347,00	0,216	0,335	0,458	0,582	0,698	0,811	0,916	1,003	1,083	1,139
347,50	0,219	0,339	0,463	0,587	0,704	0,818	0,924	1,011	1,090	1,148
